2792	1.484	2.975
2818	1.515	3.034
2857	1.571	3.134
2883	1.618	3.209
2924	1.708	3.337
2952	1.791	3.433
2995	1.966	3.582
3024	2.127	3.666
3069	2.425	3.12
3100	2.632	3.694
3147	2.902	3.581
3179	3.044	3.479
3229	3.204	3.314
3263	3.287	3.204
3315	3.383	3.039
3351	3.427	2.933
3406	3.468	2.789
3444	3.485	2.705
3502	3.504	2.589
3542	3.511	2.517
3604	3.515	2.424
3647	3.52	2.369
3712	3.528	2.28
3757	3.525	2.217
3827	3.502	2.137
3875	3.482	2.093
3949	3.445	2.038
4000	3.419	2.015
4078	3.384	1.997
4133	3.366	1.994
4217	3.348	1.997
4275	3.342	2.004
4366	3.34	2.021
4428	3.345	2.036
4525	3.36	2.062
4592	3.377	2.083
4696	3.413	2.119
4769	3.447	2.145
4881	3.512	2.188
4959	3.57	2.221
4999	3.605	2.238
5040	3.646	2.254
5081	3.694	2.271
5123	3.752	2.283
5166	3.822	2.287
5209	3.9	2.274
5254	3.976	2.239
5299	4.04	2.183
5344	4.084	2.121
5391	4.111	2.06
5438	4.126	2.005
5486	4.133	1.957
5535	4.136	1.915
5585	4.136	1.88
5636	4.135	1.85
5687	4.134	1.826
5740	4.132	1.806
5794	4.132	1.79
5848	4.133	1.779
5904	4.136	1.77
5961	4.142	1.765
6019	4.149	1.763
6078	4.161	1.763
6138	4.175	1.767
6199	4.194	1.773
6262	4.218	1.784
6326	4.249	1.799
6391	4.29	1.818
6458	4.347	1.844
6526	4.433	1.873
6595	4.566	1.879
6666	4.723	1.816
6738	4.841	1.685
6812	4.898	1.534
6888	4.909	1.396
6965	4.894	1.275
7045	4.867	1.171
7126	4.83	1.085
7208	4.793	1.01
7293	4.754	0.949
7380	4.712	0.897
7469	4.675	0.848
7560	4.637	0.808
7653	4.602	0.776
7749	4.568	0.749
7847	4.534	0.723
7948	4.501	0.701
8051	4.473	0.675
8157	4.442	0.659
8266	4.418	0.643
8856	4.4	0.4
10330	4.24	0.32
12400	4.15	0.26
15500	4.08	0.2
16000	4.08	0.18
18000	4.08	0.17
20000	4.08	0.17
20660	4.03	0.17
25000	4.03	0.15
30000	4.03	0.13
35000	4.03	0.12
40000	4.03	0.11
45000	4.03	0.1
50000	4.14	9.10E-02
